procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  5      0 423920  34720 1858680    0    0    22   409   90   60  1  0 96  2  0
 0  4      0 410784  34720 1858948    0    0 12576  1954 4624 7788  8 10  1 81  0
 0  9      0 402468  34720 1859312    0    0  7456  9888 4463 7194  6 11  9 71  2
 0  2      0 392640  34720 1859856    0    0  8496  8122 6161 8809  9 13  4 74  0
 0  2      0 386876  34720 1860240    0    0  4960 11085 4271 6033  7  8 11 73  0
 1  6      0 382340  34720 1860488    0    0  4128 11105 3064 4760  7  8 15 70  0
 2  3      0 369236  34728 1860772    0    0 12208  2310 5098 8213  6  8  2 84  0
 1  3      0 358620  34728 1861064    0    0  9984  6022 4608 7575  7 12  5 74  2
 1  5      0 348572  34728 1861472    0    0  9456  6103 5461 8393 11 12  1 75  0
 0  5      0 338964  34728 1861896    0    0  8832  6179 5792 8582 10 14  1 75  0
 0  1      0 331184  34728 1862244    0    0  7328  9785 4731 6918  9 13 13 64  1
 1  3      0 321072  34728 1862684    0    0  9168  8624 5280 8305 11 10  5 74  0
 3  5      0 309984  34736 1862912    0    0 10512  2932 4396 6763  8 12  2 77  2
 2  1      0 302424  34736 1863168    0    0  7136  9181 4350 6828  8  8  8 75  0
 0  2      0 294644  34736 1863484    0    0  7216  9853 4167 6782  8 10  1 81  0
 0  1      0 285572  34736 1863824    0    0  8256  6286 5286 7750 11 11  1 76  1
 0  4      0 280280  34736 1864088    0    0  5120 12271 3577 5388  6  8 18 67  0
 2  6      0 272688  34736 1864576    0    0  6128 11075 4376 6609  9 11  5 73  2
 0  4      0 264876  34744 1864832    0    0  7472  6850 3869 6191  7  9  6 79  0
 0  8      0 255300  34744 1865104    0    0  9168  6835 4562 7515  9 13  9 69  0
 0  1      0 248244  34744 1865552    0    0  5952  9812 4727 6882  8 12  6 74  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  5      0 242732  34744 1865928    0    0  5024 11170 3988 5860  6 10 16 67  0
 0  4      0 232368  34744 1866240    0    0  9360  6335 4385 7098  8 11  5 73  3
 0  4      0 221784  34744 1866388    0    0 10416  5805 4245 7249  7 11  2 80  1
 2  3      0 215232  34752 1866804    0    0  5824 10109 4045 6028  7 10 11 72  0
 0  1      0 207704  34752 1867244    0    0  6416  9568 4357 6640  8 11  9 73  0
 0  4      0 195828  34752 1867600    0    0 11440  2790 5576 8785 10 12  4 74  0
 2  4      0 187756  34752 1868108    0    0  6544 10389 4954 7394 10 11  6 72  2
 1  4      0 179692  34752 1868364    0    0  7696  9273 4234 6951  9 10  8 72  1
 0  2      0 171692  34752 1868692    0    0  7360  9249 4515 7092  7 12 15 66  0
 0  7      0 165580  34760 1869052    0    0  5136 11178 3431 5383  6  8 19 66  1
 1  2      0 157108  34760 1869496    0    0  7696  6599 4730 7478  6  5  6 83  0
 0  2      0 150460  34760 1869916    0    0  5696 10278 4152 6274  6 12 11 71  1
 0  2      0 140916  34760 1870460    0    0  8432  6472 5213 8434 10 14  4 70  2
 0  5      0 130552  34760 1871124    0    0  8864  6648 5734 8933 10 15  4 72  0
 2  2      0 118204  34760 1871416    0    0 11696  1714 4404 7383  8 12  7 73  1
 0  4      0 107872  34768 1871940    0    0  9104  2485 6587 10025  9  8  4 78  0
 2  2      0 129552  33744 1837848    0    0  9952  2148 5927 9338 11 16  3 70  0
 4  1      0 119220  33744 1838268    0    0  9408  2271 5850 9204 11 14  3 71  1
 0  5      0 109360  33744 1838820    0    0  9136  2467 6875 10361 16 16  3 64  0
