procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 144832   8632 188424    0    0    43   106    3    1  1  1 97  1  0
 3  0      0 144288   8632 189064    0    0  4689  7796 6500 11149 19  9 10 62  0
 0  4      0 144036   8632 189628    0    0  5228  2815 7666 13020 22  8 11 58  1
 1  3      0 143564   8632 189996    0    0  5240  2762 7712 13595 19  9  9 63  0
 2  4      0 155788   8640 190564    0    0  5112  2977 7641 13137 23 11  8 58  0
 2  3      0 155536   8640 191716    0    0  5048  3510 8329 14477 23  7 10 60  0
 7  1      0 155788   8640 192368    0    0  4836  6940 7006 12238 18  7 10 65  0
 0  4      0 155284   8640 192896    0    0  5328  2723 6596 11783 17  8  6 68  1
 2  2      0 154812   8640 193512    0    0  5124  3042 7588 13050 19  9  7 65  0
 5  1      0 154056   8640 194008    0    0  5144  3051 7892 14250 18  8  5 69  0
 0  3      0 153804   8644 194452    0    0  5012  3693 8742 15190 22  8 12 58  0
 4  3      0 152984   8644 194932    0    0  4976  3007 8694 15350 22  9  9 59  0
 0  1      0 152744   8644 195424    0    0  4080  6970 6482 11481 18  9 14 57  2
 2  1      0 152008   8644 196032    0    0  5360  3481 8544 15375 21 10 14 55  0
 1  2      0 152072   8644 196472    0    0  5152  2852 7967 13824 21  8  7 65  0
 0  3      0 151756   8652 197160    0    0  5208  3148 7425 13616 22  8  6 64  0
 3  1      0 150748   8652 197640    0    0  5104  3142 8301 15151 21  7  8 64  0
 0  4      0 149992   8652 198288    0    0  4624  7074 7379 12940 22  8 10 58  1
 1  3      0 148260   8652 199496    0    0  4848  7698 6996 12233 18  7  7 69  0
 2  2      0 148312   8652 200232    0    0  4808  7192 7731 13287 19  8  8 64  0
 2  2      0 147620   8652 201132    0    0  5168  3025 7008 12636 21  9  9 61  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 147052   8652 201688    0    0  5536  2709 6887 11601 17  8  6 68  0
 2  2      0 146108   8652 202624    0    0  4744  3073 9071 15570 21  9 11 60  0
 4  2      0 145320   8652 203376    0    0  4488  7251 8298 14142 21  9 15 54  1
 0  4      0 144248   8652 204096    0    0  4552  3253 8906 15505 25 13 12 50  0
