Filesystem      Size  Used Avail Use% Mounted on
udev            1.9G     0  1.9G   0% /dev
tmpfs           394M  1.2M  393M   1% /run
/dev/vda2        19G  7.3G   11G  41% /
tmpfs           2.0G     0  2.0G   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
tmpfs           2.0G     0  2.0G   0% /sys/fs/cgroup
/dev/loop1       56M   56M     0 100% /snap/core18/2284
/dev/loop3       62M   62M     0 100% /snap/core20/1270
/dev/loop5       68M   68M     0 100% /snap/lxd/21835
/dev/loop8       56M   56M     0 100% /snap/core18/2566
/dev/loop9       48M   48M     0 100% /snap/snapd/17336
/dev/loop10      64M   64M     0 100% /snap/core20/1634
/dev/loop0       68M   68M     0 100% /snap/lxd/22753
tmpfs           394M     0  394M   0% /run/user/1000
/dev/vdb         50G  4.2G   46G   9% /var/lib/mysql
