procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  4      0 1619444  30448 1088524    0    0   115   423   48   64  2  2 94  3  0
 1  3      0 1601072  30448 1093572    0    0  4924   921 5669 5246 24 15  3 58  0
 2  2      0 1582172  30448 1099008    0    0  5308   926 5352 5070 14 21  9 56  0
 0  4      0 1563996  30448 1103676    0    0  4596  1229 6648 6141 19 20  2 59  0
 1  3      0 1560384  30448 1108732    0    0  4928  1450 5923 5631 22 19  5 53  1
 3  1      0 1539980  30456 1114144    0    0  5192   965 6108 5589 22 24  1 54  0
 1  3      0 1520456  30456 1119480    0    0  5000  1162 6062 5731 26 18  3 53  0
 2  2      0 1500120  30456 1125236    0    0  5416  1049 6276 5753 24 18  3 55  0
 1  3      0 1481288  30456 1130700    0    0  5152  1086 5886 5550 22 19  3 56  0
 1  3      0 1462300  30456 1135828    0    0  4884   993 5581 5234 19 17  1 62  1
 2  2      0 1443840  30456 1140948    0    0  4968   766 5097 4746 21 18  1 61  0
 2  2      0 1433828  30456 1145828    0    0  4616  1411 7412 6865 26 24  4 47  0
 1  3      0 1415864  30456 1150836    0    0  4680  1166 6693 6036 21 19  2 58  0
 2  1      0 1396316  30456 1156108    0    0  4940  1113 6576 5963 20 20  2 58  0
 2  2      0 1390668  30456 1161480    0    0  5112   890 6122 5513 24 20  2 54  0
 2  2      0 1371932  30456 1166236    0    0  4520  1193 6136 5783 20 23  2 55  1
 2  2      0 1361528  30464 1171424    0    0  5000   862 4453 4613 20 14  3 63  0
 1  3      0 1340784  30464 1176608    0    0  4944  1061 5890 5676 24 15  2 59  0
 2  2      0 1321088  30464 1181504    0    0  4680  1090 6289 5729 20 17  3 60  0
 2  2      0 1310188  30464 1186836    0    0  5148   813 4444 4362 18 14  1 67  0
 1  3      0 1300280  30464 1192004    0    0  4956   950 6145 5716 22 24  2 53  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 1281268  30464 1196672    0    0  4532  1277 6040 5935 22 22  3 53  1
 1  3      0 1262232  30464 1202084    0    0  5028  1374 7456 6543 24 25  3 48  0
 3  1      0 1242284  30464 1207308    0    0  4888  1105 6297 5820 22 18  3 57  0
 0  4      0 1229140  30464 1212676    0    0  5224   706 4194 4292 15 16  3 66  0
 1  3      0 1209648  30464 1217680    0    0  4832  1005 6006 5514 20 22  2 55  0
 2  3      0 1190700  30464 1222508    0    0  4636  1082 5960 5611 21 19  3 57  1
 1  3      0 1171248  30464 1227364    0    0  4700   949 5201 5204 19 21  1 59  0
 0  4      0 1152308  30464 1232888    0    0  5332   770 5106 4861 23 16  1 61  0
 1  3      0 1135384  30464 1237736    0    0  4700  1013 5492 5246 19 21  2 58  1
 1  3      0 1116728  30464 1243012    0    0  5096   838 4940 4834 20 16  3 61  0
 1  1      0 1102804  30464 1247788    0    0  4536  1489 8055 7153 30 23  3 44  0
 2  3      0 1086352  30464 1252712    0    0  4688  1106 5587 5324 21 18  2 59  0
 0  4      0 1069460  30472 1257740    0    0  4864   877 5146 5146 20 17  3 61  0
 2  2      0 1053252  30472 1262792    0    0  4868  1110 6133 5892 23 19  4 53  1
 2  2      0 1039352  30472 1267940    0    0  4932   873 5590 5180 23 19  1 57  0
 1  3      0 1029476  30472 1272552    0    0  4420  1222 6452 5960 18 18  2 62  0
 1  2      0 1021120  30472 1277068    0    0  4364  1417 7488 6702 24 18  3 55  0
