Filesystem      Size  Used Avail Use% Mounted on
udev            1.9G     0  1.9G   0% /dev
tmpfs           394M  1.2M  393M   1% /run
/dev/vda2        19G   14G  3.7G  80% /
tmpfs           2.0G     0  2.0G   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
tmpfs           2.0G     0  2.0G   0% /sys/fs/cgroup
tmpfs           394M     0  394M   0% /run/user/1000
/dev/loop1       64M   64M     0 100% /snap/core20/1695
/dev/vdb         50G  4.8G   46G  10% /var/lib/mysql
/dev/loop4       56M   56M     0 100% /snap/core18/2632
/dev/loop6       92M   92M     0 100% /snap/lxd/23991
/dev/loop5       50M   50M     0 100% /snap/snapd/17883
/dev/loop7       92M   92M     0 100% /snap/lxd/24061
/dev/loop0       64M   64M     0 100% /snap/core20/1738
/dev/loop8       56M   56M     0 100% /snap/core18/2654
