procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1      0 486624  17596 3114060    0    0    38    96    1    2  1  1 97  1  0
 1  3      0 465196  17596 3122900    0    0  8624  7911 3094 2631 32 10  0 57  0
 2  3      0 453848  17596 3129568    0    0  6572  9420 1648 1243 35  5  0 60  1
 1  2      0 449072  17596 3137856    0    0  8316  7615 2370 1787 33  8  0 59  1
 3  2      0 434832  17596 3146216    0    0  8196  8026 4008 3039 38 14  4 42  3
 1  4      0 409056  17604 3155368    0    0  9004  6942 3908 3306 30 15  1 54  0
 0  4      0 391888  17604 3164604    0    0  9176  7407 1665 1510 29  7  6 58  0
 1  3      0 664644  17604 2884312    0    0  6940  8552 1902 1617 35  6  0 59  0
 0  3      0 652524  17604 2890464    0    0  6064 10798 3042 2447 36 12  0 51  1
 1  3      0 632632  17604 2898688    0    0  8212  6923 3830 3165 33 13  8 44  2
 1  4      0 608636  17604 2907340    0    0  8332  7652 6706 4852 35 23  0 42  0
 5  0      0 594932  17604 2915244    0    0  7988  7732 2838 2320 33  8  0 59  0
 1  4      0 573480  17604 2919448    0    0  3728 11253 8635 7596 56 26  1 18  0
 1  4      0 551972  17604 2923664    0    0  4016 11709 7102 6580 53 19  1 28  0
 2  3      0 528772  17604 2927668    0    0  3820 11607 6135 5530 51 20  1 26  4
 3  2      0 503752  17604 2935748    0    0  7812  8724 6677 5311 45 22  0 33  0
 1  1      0 479796  17604 2943864    0    0  8028  7978 4208 3250 36 11  1 53  0
 1  4      0 456604  17604 2952896    0    0  8848  7893 8823 6442 41 28  0 30  1
 2  4      0 439680  17604 2961444    0    0  8588  6706 2455 2131 32  8  0 61  0
 3  2      0 426412  17604 2970056    0    0  8532  7347 1624 1441 27  5  0 68  0
 0  5      0 402368  17604 2979064    0    0  8884  7667 2735 2455 34 10  0 55  2
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  1      0 384808  17604 2987620    0    0  8420  7025 4481 3600 34 16  0 50  0
 1  3      0 365292  17604 2996704    0    0  8964  8015 4456 3373 37 18  0 45  0
 2  4      0 349132  17604 3004856    0    0  8068  6967 3219 2666 31 13  0 56  0
 0  5      0 333240  17604 3014016    0    0  9080  7826 3648 2763 33 13  1 54  0
 1  4      0 320956  17604 3018372    0    0  4388 10742 2816 2466 39 11  0 48  2
 5  0      0 302724  17604 3026788    0    0  8212  7423 6457 4415 39 22  0 40  0
 1  4      0 282580  17604 3035016    0    0  8036  8365 5469 3854 37 18  0 45  0
 1  3      0 268932  17604 3043444    0    0  8368  7728 2798 2237 30 10  1 59  0
 1  3      0 256332  17604 3051616    0    0  8156  8152 1385 1190 30  4  0 67  0
 5  0      0 242716  17604 3057376    0    0  5724  9889 2946 2629 80  9  0 11  1
 2  2      0 209004  17604 3061792    0    0  4140 10965 8509 7469 53 25  0 22  0
 1  4      0 186512  17604 3065612    0    0  3644 12885 6561 6703 53 18  0 29  0
 4  0      0 164184  17604 3069364    0    0  3524 10892 8805 7489 53 25  0 21  0
 0  5      0 132708  17612 3076884    0    0  7300  9789 4355 4056 44 13  0 44  0
 5  0      0 353952  17612 2842132    0    0  8572  7014 4867 3620 38 17  3 41  0
 0  5      0 333288  17612 2851040    0    0  8640  8574 5974 4801 40 19  0 40  2
 1  4      0 322420  17612 2857688    0    0  6592  9411 1611 1115 35  5  0 59  1
 0  5      0 307552  17612 2866216    0    0  8580  7456 2236 1651 30  8  0 62  0
 1  4      0 293944  17612 2871752    0    0  5432  9668 1889 1672 39  6  0 56  0
 3  2      0 269272  17612 2874564    0    0  2740 13061 4048 3069 48 14  0 37  0
 2  1      0 251520  17612 2877796    0    0  3112 12641 7253 5882 50 22  0 27  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2      0 233896  17612 2881596    0    0  3472 12154 7591 7107 57 23  1 20  1
 1  2      0 211940  17612 2885324    0    0  3472 12012 7613 6998 53 21  2 25  0
 3  2      0 189960  17612 2889644    0    0  4180 12657 5312 4270 53 14  0 33  0
