procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 574372  15176 3021624    0    0    37    95    5    3  1  1 97  0  0
 0  4      0 546556  15176 3026604    0    0  4624  2895 7874 7710 27 23  7 43  0
 1  3      0 520812  15176 3032048    0    0  5272  2337 5780 6072 26 20  2 50  3
 3  1      0 489272  15176 3037556    0    0  5316  3002 6339 6560 28 19  3 50  0
 3  2      0 479132  15176 3043216    0    0  5484  2398 6419 6463 27 21  4 48  0
 2  2      0 456372  15176 3048512    0    0  5084  2651 7525 7398 27 25  8 40  1
 2  2      0 426100  15184 3054040    0    0  5268  2737 7063 6836 25 27  5 43  0
 3  0      0 404144  15184 3059636    0    0  5444  2479 5893 6092 25 18  3 53  0
 1  2      0 376132  15184 3065032    0    0  5124  2769 7357 7356 26 22  5 46  0
 1  2      0 354184  15184 3069408    0    0  4232  2100 5610 5882 16 17  4 64  0
 1  2      0 327188  15184 3074860    0    0  5200  2764 7562 7256 26 26  5 43  0
 0  4      0 304224  15184 3080508    0    0  5464  2401 6172 6533 22 15 14 50  0
 0  1      0 274968  15184 3086012    0    0  5328  2454 6120 6055 23 21 10 46  1
 2  2      0 239436  15184 3091840    0    0  5620  2535 6710 6712 26 24  5 44  0
 1  3      0 212644  15184 3098256    0    0  6296  2077 5468 5589 25 15 23 37  0
 1  3      0 189232  15184 3103244    0    0  4696  2962 8016 7821 26 29  6 38  0
 3  0      0 163480  15184 3108752    0    0  5428  2153 5232 5306 23 17  3 58  0
 0  3      0 137012  15184 3113984    0    0  5032  2347 5715 5881 25 20  6 50  1
 2  2      0 106496  15184 3118908    0    0  4696  2553 6778 6534 28 25  4 44  0
 0  3      0 109068  15180 3088144    0    0  5232  2557 6477 6752 31 19  4 46  0
 2  1      0 106784  15180 3073516    0    0  4836  2570 6456 6404 25 21  6 48  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 103696  15180 3059620    0    0  4788  2509 6319 6514 27 22  4 47  0
 2  2      0 118352  14904 3028432    0    0  4916  2047 5103 5297 19 18  6 56  0
 2  1      0 118320  14904 3014292    0    0  4304  2989 7315 7262 28 26  8 36  2
 1  3      0 118548  14904 2992128    0    0  4028  3063 8369 8161 31 27  7 35  0
 1  3      0 131644  14904 2962028    0    0  4804  2446 6382 6314 24 22  6 48  0
 0  3      0 117564  14904 2949416    0    0  4352  2704 7333 7148 31 23 12 34  1
 3  1      0 107004  14904 2946468    0    0  5212  2057 5290 4963 21 17  7 55  0
 3  1      0 107244  14904 2931424    0    0  4696  2645 6887 6803 27 22  4 47  1
 1  3      0 107992  14900 2915820    0    0  4548  2602 5942 6212 22 22  8 48  0
 2  1      0 115528  14900 2900012    0    0  4144  2867 7705 7689 27 26  7 40  0
 0  3      0 121040  14900 2884828    0    0  4744  2585 6438 6607 26 22  7 46  0
 2  1      0 114756  14900 2889240    0    0  4184  2902 7384 7378 28 26  8 37  0
 2  2      0 107904  14900 2893940    0    0  4496  2613 6894 6997 29 22  4 44  1
 2  2      0 120788  14812 2878336    0    0  4076  3022 8821 8186 31 29  6 34  0
 1  3      0 116456  14812 2882792    0    0  4212  2965 7496 7380 27 26  8 39  1
 0  4      0 111132  15348 2887080    0    0  4600  3054 8060 8035 28 25  8 39  0
 1  2      0 106092  15348 2891564    0    0  4236  2848 7630 7224 30 24  7 38  0
 3  2      0 121164  15316 2874892    0    0  3084  2914 7623 7753 23 28  6 42  1
 4  0      0 117100  15316 2879372    0    0  4284  2684 7527 7576 26 25  5 44  0
 0  4      0 112620  15316 2883788    0    0  4220  2788 6622 6834 29 20  6 46  0
 1  3      0 107068  15316 2888408    0    0  4452  2555 6784 6749 28 19  9 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  3      0 120416  15316 2873036    0    0  4448  2752 7749 7306 28 25 11 36  0
 2  2      0 116416  15324 2877268    0    0  3892  3029 8017 7957 30 24  9 37  1
 0  3      0 112368  15324 2881652    0    0  4168  2713 7220 6970 33 21  3 42  1
 2  1      0 107580  15324 2886236    0    0  4516  2636 7034 7140 27 23  3 47  0
 1  2      0 121400  15324 2870424    0    0  3696  3265 8826 8678 28 28  7 38  0
 1  2      0 118280  15324 2874080    0    0  3432  3257 8467 8454 26 29  7 38  1
 1  2      0 114840  15324 2878236    0    0  3916  2918 7465 7388 33 19 11 37  0
 2  2      0 109792  15324 2882376    0    0  3924  3127 8890 8271 34 30  4 32  1
 1  3      0 103524  15324 2887224    0    0  4612  2586 6420 6542 27 19  6 48  1
 4  1      0 117760  15324 2872380    0    0  4880  2178 5436 5465 23 20  3 54  0
 1  2      0 113556  15324 2876904    0    0  4292  2556 7083 7099 28 26  6 41  0
 4  0      0 108956  15324 2881028    0    0  3924  2974 7627 7529 26 22  8 43  1
 1  3      0 104012  15324 2885392    0    0  4112  2908 7270 7383 24 25 14 37  1
 2  1      0 118336  15324 2870360    0    0  4468  2438 7230 6881 30 21  4 46  0
 2  2      0 114336  15324 2874844    0    0  4276  2678 7505 7292 29 24  7 40  0
 1  2      0 109476  15324 2879180    0    0  4244  2618 6761 6695 27 25  5 43  0
 1  3      0 104216  15324 2884444    0    0  5036  2295 5846 6052 21 14 12 53  0
 2  3      0 120084  15324 2869172    0    0  4300  2356 6064 6557 19 19 18 44  1
 2  3      0 116556  15324 2873536    0    0  4184  2598 7173 6780 27 23  4 46  0
 1  4      0 111296  15324 2877936    0    0  4168  2806 7008 7052 28 18 24 29  1
 2  3      0 106036  15324 2882716    0    0  4720  2310 5139 5734 21 18  8 52  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1      0 120872  15324 2866560    0    0  3336  2966 6990 7293 27 24  6 43  0
 1  3      0 115988  15324 2870756    0    0  4064  2696 7793 7444 29 26  7 38  0
 1  2      0 112556  15324 2875448    0    0  4452  2716 6741 7046 23 24  9 42  1
 2  2      0 107256  15324 2880060    0    0  4400  2568 7225 7124 29 22  4 45  0
 0  4      0 111508  15304 2874700    0    0  3904  3091 8145 8021 33 26  7 35  0
 5  0      0 107760  15304 2879016    0    0  4136  2557 6794 6744 26 23  6 46  0
 0  3      0 103940  15304 2883780    0    0  4668  2516 6359 6615 23 19  5 53  0
 1  2      0 108728  15304 2879232    0    0  4624  2665 7843 7187 28 28 11 33  1
 1  3      0 103712  15304 2882440    0    0  2996  3318 9596 9048 33 30  8 29  1
 0  4      0 120060  15304 2867264    0    0  3928  2900 8013 7496 28 21  7 44  0
 0  3      0 115020  15304 2871800    0    0  4328  2758 7112 7043 25 20  5 49  0
 0  2      0 110892  15304 2876652    0    0  4732  2307 6148 6177 26 22  3 49  0
 2  1      0 105036  15304 2881148    0    0  4212  2651 7518 6902 32 25  8 35  1
 0  2      0 120060  15304 2865160    0    0  3100  3432 9532 9045 33 29  6 32  0
 1  3      0 114736  15304 2869680    0    0  4424  2428 7089 6955 26 24  5 45  1
 2  1      0 109004  15304 2874672    0    0  4716  2504 6508 6694 26 21  3 50  0
 2  1      0 104624  15304 2879060    0    0  4292  2630 7080 7035 27 23  3 47  0
 1  3      0 137984  15304 2844976    0    0  4688  2448 6421 6415 28 20 12 39  1
 2  2      0 134424  15304 2850024    0    0  4912  2094 5515 5695 24 20  9 47  0
 4  1      0 131148  15304 2854372    0    0  4124  2758 7543 7487 28 26  4 43  0
 3  1      0 126392  15304 2858600    0    0  4136  2747 7359 7137 29 23  6 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 121604  15304 2862124    0    0  3260  3096 8544 8248 33 23 18 26  0
 2  2      0 117784  15304 2865484    0    0  3132  3118 7563 7711 26 24 13 37  1
 4  1      0 112996  15304 2869500    0    0  3784  3049 7734 8083 28 29  7 37  0
