Variable_name	Value
Aborted_clients	0
Aborted_connects	0
Acl_cache_items_count	0
Binlog_snapshot_file	
Binlog_snapshot_position	0
Binlog_cache_disk_use	0
Binlog_cache_use	0
Binlog_snapshot_gtid_executed	
Binlog_stmt_cache_disk_use	0
Binlog_stmt_cache_use	0
Bytes_received	620
Bytes_sent	31592
Caching_sha2_password_rsa_public_key	-----BEGIN PUBLIC KEY-----\nMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtL8GTZuTi/9+dDtwrq9j\n7utN4GnDZwkvCRs8UTb1R/9NaJq1/FMdk86gqKg/qUtACzZd1nJuUpm/OKvURDZa\nYmNWgI+wWU8zdgWmRWyK9EGteTbFFSfVJVaY24si40Q/J+UEkkv8rFrFEB96Zq0j\nUlbYstrLLa+pkQDWR7a6FLFNUiZfQP14swdDo6QCEbinbk8Izf5OI2xoH7a8iFYc\nL1vHu0nQ5us+bXNBvXN8+hKQzfdfhL5sZg+SBZXrUCmjZdlaZvvYHZWWr4LGJLMl\ng0t5V0xZXREeNH4U66vMZlwZhiorf5BU/wKQfmW2b7pi/GEmCMpiIe0oqwnz8KHQ\nTQIDAQAB\n-----END PUBLIC KEY-----\n
Com_admin_commands	0
Com_assign_to_keycache	0
Com_alter_db	0
Com_alter_event	0
Com_alter_function	0
Com_alter_instance	0
Com_alter_procedure	0
Com_alter_resource_group	0
Com_alter_server	0
Com_alter_table	0
Com_alter_tablespace	0
Com_alter_user	0
Com_alter_user_default_role	0
Com_analyze	0
Com_begin	0
Com_binlog	0
Com_call_procedure	0
Com_change_db	1
Com_change_master	0
Com_change_repl_filter	0
Com_change_replication_source	0
Com_check	0
Com_checksum	0
Com_clone	0
Com_commit	0
Com_create_compression_dictionary	0
Com_create_db	1
Com_create_event	0
Com_create_function	0
Com_create_index	0
Com_create_procedure	0
Com_create_role	0
Com_create_server	0
Com_create_table	34
Com_create_resource_group	0
Com_create_trigger	0
Com_create_udf	0
Com_create_user	0
Com_create_view	0
Com_create_spatial_reference_system	0
Com_dealloc_sql	0
Com_delete	0
Com_delete_multi	0
Com_do	0
Com_drop_compression_dictionary	0
Com_drop_db	0
Com_drop_event	0
Com_drop_function	0
Com_drop_index	0
Com_drop_procedure	0
Com_drop_resource_group	0
Com_drop_role	0
Com_drop_server	0
Com_drop_spatial_reference_system	0
Com_drop_table	0
Com_drop_trigger	0
Com_drop_user	0
Com_drop_view	0
Com_empty_query	0
Com_execute_sql	0
Com_explain_other	0
Com_flush	1
Com_get_diagnostics	0
Com_grant	0
Com_grant_roles	0
Com_ha_close	0
Com_ha_open	0
Com_ha_read	0
Com_help	0
Com_import	0
Com_insert	0
Com_insert_select	0
Com_install_component	0
Com_install_plugin	0
Com_kill	0
Com_load	0
Com_lock_instance	0
Com_lock_tables	0
Com_lock_tables_for_backup	0
Com_optimize	0
Com_preload_keys	0
Com_prepare_sql	0
Com_purge	0
Com_purge_before_date	0
Com_release_savepoint	0
Com_rename_table	0
Com_rename_user	0
Com_repair	0
Com_replace	0
Com_replace_select	0
Com_reset	0
Com_resignal	0
Com_restart	0
Com_revoke	0
Com_revoke_all	0
Com_revoke_roles	0
Com_rollback	0
Com_rollback_to_savepoint	0
Com_savepoint	0
Com_select	2
Com_set_option	4
Com_set_password	0
Com_set_resource_group	0
Com_set_role	0
Com_signal	0
Com_show_binlog_events	0
Com_show_binlogs	0
Com_show_charsets	0
Com_show_client_statistics	0
Com_show_collations	0
Com_show_create_db	0
Com_show_create_event	0
Com_show_create_func	0
Com_show_create_proc	0
Com_show_create_table	0
Com_show_create_trigger	0
Com_show_databases	0
Com_show_engine_logs	0
Com_show_engine_mutex	0
Com_show_engine_status	0
Com_show_events	0
Com_show_errors	0
Com_show_fields	0
Com_show_function_code	0
Com_show_function_status	0
Com_show_grants	0
Com_show_index_statistics	0
Com_show_keys	0
Com_show_master_status	0
Com_show_open_tables	0
Com_show_plugins	0
Com_show_privileges	0
Com_show_procedure_code	0
Com_show_procedure_status	0
Com_show_processlist	0
Com_show_profile	0
Com_show_profiles	0
Com_show_relaylog_events	0
Com_show_replicas	0
Com_show_slave_hosts	0
Com_show_replica_status	0
Com_show_slave_status	0
Com_show_status	1
Com_show_storage_engines	0
Com_show_table_statistics	0
Com_show_table_status	0
Com_show_tables	0
Com_show_thread_statistics	0
Com_show_triggers	0
Com_show_user_statistics	0
Com_show_variables	1
Com_show_warnings	0
Com_show_create_user	0
Com_shutdown	0
Com_replica_start	0
Com_slave_start	0
Com_replica_stop	0
Com_slave_stop	0
Com_group_replication_start	0
Com_group_replication_stop	0
Com_stmt_execute	0
Com_stmt_close	0
Com_stmt_fetch	0
Com_stmt_prepare	0
Com_stmt_reset	0
Com_stmt_send_long_data	0
Com_truncate	0
Com_uninstall_component	0
Com_uninstall_plugin	0
Com_unlock_instance	0
Com_unlock_tables	0
Com_update	0
Com_update_multi	0
Com_xa_commit	0
Com_xa_end	0
Com_xa_prepare	0
Com_xa_recover	0
Com_xa_rollback	0
Com_xa_start	0
Com_stmt_reprepare	0
Connection_errors_accept	0
Connection_errors_internal	0
Connection_errors_max_connections	0
Connection_errors_peer_address	0
Connection_errors_select	0
Connection_errors_tcpwrap	0
Connections	9
Created_tmp_disk_tables	0
Created_tmp_files	5
Created_tmp_tables	2
Current_tls_ca	ca.pem
Current_tls_capath	
Current_tls_cert	server-cert.pem
Current_tls_cipher	
Current_tls_ciphersuites	
Current_tls_crl	
Current_tls_crlpath	
Current_tls_key	server-key.pem
Current_tls_version	TLSv1.2,TLSv1.3
Delayed_errors	0
Delayed_insert_threads	0
Delayed_writes	0
Error_log_buffered_bytes	39576
Error_log_buffered_events	248
Error_log_expired_events	0
Error_log_latest_write	1668013761678529
Flush_commands	3
Global_connection_memory	0
Handler_commit	596
Handler_delete	0
Handler_discover	0
Handler_external_lock	6883
Handler_mrr_init	0
Handler_prepare	0
Handler_read_first	43
Handler_read_key	1790
Handler_read_last	0
Handler_read_next	4254
Handler_read_prev	0
Handler_read_rnd	0
Handler_read_rnd_next	1945
Handler_rollback	0
Handler_savepoint	0
Handler_savepoint_rollback	0
Handler_update	317
Handler_write	867
Innodb_background_log_sync	0
Innodb_buffer_pool_dump_status	Dumping of buffer pool not started
