procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 2812844   9092 821892    0    0    60   197   26   26  2  1 96  1  0
 1  3      0 2786728   9092 836056    0    0 13916   466 3546 2654 13 14  1 72  0
 0  4      0 2760180   9092 843028    0    0  6812   582 3880 4080 12 12  1 74  1
 1  3      0 2733740   9092 849692    0    0  6332   705 4447 4372 10 15  1 74  0
 1  3      0 2719320   9092 855492    0    0  5540   970 5503 5256 16 20  3 62  0
 1  3      0 2697496   9100 861036    0    0  5192  1251 5985 5533 16 18  1 64  0
 1  2      0 2674404   9100 866672    0    0  5356   946 5931 5493 18 17  1 64  0
 1  3      0 2653580   9100 871744    0    0  4776  1137 6302 5772 17 16  2 64  0
 0  3      0 2631944   9100 877044    0    0  4944  1062 5979 5572 14 16  4 66  1
 1  3      0 2610884   9100 882020    0    0  4744  1105 6030 5571 12 13  2 73  0
 0  4      0 2587628   9100 887260    0    0  5036   674 4108 4188 14 14  1 71  0
 1  3      0 2567064   9100 892468    0    0  4852  1305 6624 6303 16 20  4 60  0
 1  3      0 2543248   9100 897816    0    0  5180   646 4741 4468 15 12  1 72  1
 0  4      0 2520244   9100 903356    0    0  5288   797 5076 4832 16 14  2 68  1
 1  3      0 2497948   9100 908380    0    0  4864   846 4387 4510 12 13  2 73  0
 3  1      0 2475448   9100 913432    0    0  4908   841 5337 4885 14 16  3 67  0
 0  4      0 2453452   9100 918516    0    0  4884   942 5176 5024 16 12  1 72  0
 0  4      0 2433400   9100 923416    0    0  4568  1357 7229 6508 22 20  4 55  0
 0  4      0 2410680   9100 928464    0    0  4856   870 4852 4830 15 12  2 72  0
 0  4      0 2387448   9100 933548    0    0  4936   789 4531 4794  8 10  2 80  1
 1  3      0 2362680   9100 938800    0    0  5156   510 3656 3726 11 14  0 75  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
