Filesystem      Size  Used Avail Use% Mounted on
udev            1.9G     0  1.9G   0% /dev
tmpfs           394M  1.2M  393M   1% /run
/dev/vda2        19G  7.3G   11G  42% /
tmpfs           2.0G     0  2.0G   0% /dev/shm
tmpfs           5.0M     0  5.0M   0% /run/lock
tmpfs           2.0G     0  2.0G   0% /sys/fs/cgroup
/dev/loop5       68M   68M     0 100% /snap/lxd/21835
/dev/loop8       56M   56M     0 100% /snap/core18/2566
/dev/loop9       48M   48M     0 100% /snap/snapd/17336
/dev/loop10      64M   64M     0 100% /snap/core20/1634
/dev/loop0       68M   68M     0 100% /snap/lxd/22753
tmpfs           394M     0  394M   0% /run/user/1000
/dev/loop2       56M   56M     0 100% /snap/core18/2620
/dev/loop1       64M   64M     0 100% /snap/core20/1695
/dev/vdb         50G  3.8G   47G   8% /var/lib/mysql
