procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 126152  15548 3093892    0    0    39   100    6   13  1  1 98  1  0
 0  4      0 116844  15548 3093668    0    0  9568  6085 3780 6594  6  9 10 75  0
 0  3      0 106920  15548 3092876    0    0 11152  4866 4050 6635  8 11  1 80  0
 0  4      0 121584  15536 3068420    0    0  8880  8822 3201 5590  7  6  5 82  0
 4  2      0 127916  15536 3065768    0    0  9264  5014 4457 7228  7 12 11 70  1
 0  4      0 120200  15544 3064932    0    0 10672  5258 4857 7737 10 12  1 75  3
 0  4      0 114404  15544 3063928    0    0  6128 11940 3236 5115  7  8  7 78  0
 1  4      0 108104  15544 3061764    0    0  8224  5900 3613 5916  6  8  0 85  0
 0  3      0 119516  15532 3038708    0    0 10608  5112 4497 7518  5 12  4 79  0
 0  2      0 111704  15532 3038076    0    0  8000  9020 3974 6318  7  7  6 80  1
 1  3      0 103860  15532 3037560    0    0  7408  8955 3642 5690  6 10  8 76  1
 0  4      0 114320  15248 3016044    0    0  9776  5149 4516 7444  5 12  6 76  1
 1  3      0 107516  15248 3015388    0    0  6832  9147 4265 6346  7  8 22 63  0
 0  5      0 121432  15236 2994244    0    0  6944  9098 4252 6439  7  9  1 83  0
 0  4      0 112588  15236 2993332    0    0 10544  5211 5416 8327  9 10  1 80  0
 0  4      0 103800  15236 2990492    0    0 10912  5332 4008 6614  8  8  1 83  1
 0  4      0 111904  15224 2969984    0    0 11776  1387 5120 8113  5  8  1 85  2
 2  4      0 105036  15224 2968164    0    0  8032  9546 4048 6333  4 11  2 84  0
 4  3      0 115252  15212 2946704    0    0 10192  5803 5256 8292 10 10  3 77  0
 0  4      0 104888  15212 2946736    0    0  9952  5595 3971 6575  7  9  3 81  1
 1  4      0 115064  15072 2926896    0    0 10032  7456 4221 6832  6  9  5 80  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  6      0 106528  15072 2926896    0    0  7888  7332 3727 5861  5 11 16 66  2
 0  2      0 117088  15060 2907064    0    0  8608  8767 4555 7204  7 12  4 77  0
 0  5      0 106452  15060 2907012    0    0 10480  5506 4548 7204  9 11  5 74  1
 4  2      0 114072  15056 2887584    0    0 11040  2333 4182 7129  7 10  2 81  1
 0  6      0 106260  15056 2886168    0    0  8336  9162 3798 6333  6  6  1 87  0
 1  2      0 118072  15052 2865156    0    0  9504  6088 4824 7700 11  9  3 75  2
 0  5      0 112056  15052 2865284    0    0  6608  9539 3713 5883  7  9  5 79  0
 0  4      0 120688  15048 2846116    0    0 10272  5666 5009 8115  6  5  2 87  0
 0  2      0 113160  15048 2845924    0    0  7040  8961 4088 6425  7  9  7 76  1
 1  4      0 107080  15048 2845876    0    0  6032  9870 3591 5396  5  7  1 86  0
 1  3      0 114892  15044 2826552    0    0  9792  5779 5106 7920  9 12  3 76  1
 0  3      0 105820  15044 2826232    0    0  8784  8715 4934 7597  8 13 10 68  1
 0  5      0 115744  15040 2807264    0    0  8456  6607 4206 6640  9  9  6 76  1
